NAME,TIME
seohyunkim,46.32896
seohyunkim2,62.25724
seohyu,53.43248
seohy333u,513.43248
seohy5u,453.43248
bebe,82.30151
dd,50.39673
asdf,54.646
abc,58.337
d,66.377
adfdgas,110.119
d,53.269
ab,53.556
gggg,121.479
dkfma,50.251
areum,55.564
any,78.432
asd,52.273
abcd,48.533
dds,55.189
qwer,58.161
reum,56.245
,115.441
,160.696
ru,48.772
